Code,Group,Task_id,LLM Used?,Description,Main Flow,Alternative Flow  ,time,grad_phd_01,grad_phd_02,grad_mean
P007,G2,2 - GreenMarket,No,Consumer user analyzes their order history,DESCRIPTION GIVEN: Consumer user WANTS TO: Analyze my order history SO THAT: I can have control over my expenses,GIVEN: the consumer user is logged in AND: has previously made a purchase WHEN: they access the order history tab AND: define a time period THEN: they will have access to the full history based on the selected period,8,5,5,5
P008,G2,2 - GreenMarket,No,Agro Product Purchase App DESCRIPTION: An app made for users to track the origin of products and offers a subscription system for weekly deliveries AS: Consumer I WANT TO: Check which vegetables are at the best price SO THAT: I can save money,USE CASE: Check product prices GIVEN: The user has an account AND is logged in WHEN: clicks on the prices tab on the screen THEN: they will see a detailed list of the products and their prices,USE CASE: Attempts to place an order without specifying products GIVEN: the user is logged into the platform AND tried to make an order WHEN: they click the purchase button THEN: the option will be considered invalid and the system will return to the menu,7,10,5,7.5
P009,G1,2 - GreenMarket,Yes,"Activation of Weekly Organic Product Subscription AS: Consumer interested in organic products I WANT TO: Activate a weekly product delivery subscription SO THAT: I ensure convenience, regular deliveries, and maintain a healthy diet without placing manual orders every week","GIVEN: the user is logged into the app AND has already added a set of organic products to the cart AND has a registered delivery address WHEN: they select the “Activate Weekly Delivery” option at checkout THEN: the system creates a recurring subscription with weekly delivery, confirms the first delivery, and sends a confirmation notification to the user",GIVEN: the user is logged into the app AND tries to activate the weekly subscription during checkout WHEN: the system detects that there is no registered delivery address THEN: the system displays a message requesting a valid address to proceed with the subscription,6,10,10,10
P010,G1,2 - GreenMarket,Yes,User Story Title: Subscribe to Weekly Organic Product Delivery DESCRIPTION AS: Consumer interested in organic products I WANT TO: Subscribe to an automatic weekly delivery of fruits and vegetables SO THAT: I receive fresh products regularly without placing manual orders every week,USE CASE (Main Flow) GIVEN: I am logged into the app AND: I have already registered a delivery address AND: I have chosen my favorite organic products WHEN: I confirm the weekly subscription option on the payment screen THEN: the system automatically schedules the weekly delivery AND: Displays a summary of the subscription in the “My Subscriptions” area AND: Sends a notification by email and in the app with the details of the next delivery,USE CASE (Alternative Flow) GIVEN: I am logged into the app AND: have not registered a delivery address WHEN: I try to confirm the weekly subscription on the payment screen THEN: the system displays an alert requesting address registration AND: redirects to the address registration screen before finalizing the subscription,2,10,10,10
P011,G1,2 - GreenMarket,Yes,Title: Weekly Organic Product Subscription DESCRIPTION AS: GreenMarket app consumer I WANT TO: Subscribe to a weekly delivery plan of organic products SO THAT: I receive fresh food at home conveniently and regularly,GIVEN: I am logged into the app AND: I have access to the catalog of products and available plans AND: I have chosen a weekly subscription plan WHEN: I confirm the subscription and the delivery address THEN: the subscription is activated AND: I receive weekly notifications about the delivery AND: The products are delivered to the registered address automatically,"GIVEN: I am logged into the app AND: try to subscribe to a weekly plan AND: have not registered a delivery address WHEN: I click ""Confirm Subscription"" THEN: the system displays an alert requesting address registration AND: I am redirected to fill in the address AND: after saving, I can complete the subscription normally",3,10,10,10
P012,G2,2 - GreenMarket,No,AS: Consumer I WANT TO: Subscribe to organic products SO THAT: I receive quality products at home in a simplified way,GIVEN: The consumer enters their credentials and logs into the app AND: accesses the subscription tab AND: chooses the desired products WHEN: they confirm the subscription THEN: this subscription is registered in the system,GIVEN: the consumer enters credentials and logs into the app AND: accesses the subscription tab AND: does not fill in all required information for the purchase WHEN: they try to confirm the subscription THEN: an error message is displayed in the system,11,10,5,7.5
P013,G2,2 - GreenMarket,No,"DESCRIPTION AS: User I WANT TO: View my order history SO THAT: I can see information about what was purchased, how much was spent, from whom it was purchased, etc.",USE CASE GIVEN: I am logged into the app WHEN: I click the history button THEN: the system will show me a table with all recent purchases I have made through the app,ALTERNATIVE FLOW GIVEN: I am logged into the app AND: on the app history screen WHEN: I click the date button AND: set a time range in the calendar THEN: the system will filter the content shown in the table,9,5,5,5
P014,G1,2 - GreenMarket,Yes,"Title: Geolocation and Interaction with Organic Producers DESCRIPTION AS: Conscious and engaged consumer in healthy eating I WANT TO: Locate nearby organic producers and interact with them via the app SO THAT: I ensure the origin of the food, clarify cultivation doubts, and make more informed choices","USE CASE (Main Flow): GIVEN: The user is logged into the app and allowed access to their location AND: there are producers registered near the user's location WHEN: the user accesses the app's interactive map THEN: the system displays the nearest organic producers, with details about their products, ratings, and a chat button for direct contact","USE CASE (Alternative Flow): GIVEN: the user is logged into the app AND no producers are registered near the specified location WHEN: the user tries to access the producer map THEN: the system displays a message stating no producers are available in the region, offers the option to expand the search radius, and suggests the user activate notifications to be informed when new producers are registered in the area",3,10,10,10
P015,G2,2 - GreenMarket,No,AS: Consumer of organic products I WANT TO: Buy a subscription for weekly delivery SO THAT: I receive quality products every week,Subscription activation for a user without an active subscription GIVEN: I am logged into the app AND: click to subscribe WHEN: I enter my data THEN: my subscription will become active,Subscription registration for a user with an already active subscription GIVEN: I am logged into the app AND click to subscribe WHEN: I am directed to the data entry page THEN: I am informed that I already have an active subscription AND the system will not register a new subscription,7,10,5,7.5
P016,G2,2 - GreenMarket,No,DESCRIPTION Create a new subscription for weekly deliveries AS: Consumer I WANT TO: Make a weekly delivery subscription SO THAT: I can facilitate the routine purchase of fruits and vegetables,USE CASE Main Flow GIVEN: The user is logged in AND … AND … accesses the subscriptions tab WHEN: presses the new subscription button and there are available delivery personnel for the address THEN: a new subscription is registered for the consumer,"USE CASE Alternative GIVEN: the user is logged in AND … AND … accesses the new subscription tab WHEN: they press yes for a new subscription, and no delivery personnel are available for the location THEN: the system informs that there are currently no delivery personnel available for the selected location and asks if they wish to change the location",10,10,10,10
P017,G1,2 - GreenMarket,Yes,"Title: Subscribe to Weekly Organic Product Delivery DESCRIPTION AS: Conscious consumer seeking healthy and sustainable food I WANT TO: Subscribe to a weekly delivery of organic products from local producers SO THAT: I receive fresh food at home conveniently and regularly, supporting local agriculture","USE CASE – Main Flow: Successful weekly subscription GIVEN: I am logged into the app AND: I have a registered delivery address AND: I have a valid payment method WHEN: I access the subscription option in the main menu and choose the weekly delivery plan with the desired products THEN: The system confirms the subscription, schedules the upcoming deliveries, and sends a confirmation notification to the user",USE CASE – Alternative Flow: Subscription failure due to missing payment method GIVEN: I am logged into the app AND: I have a registered delivery address AND: I do not have a valid payment method registered WHEN: I try to confirm the weekly product subscription THEN: the system displays an error message requesting registration of a valid payment method and prevents finalizing the subscription until the requirement is met,6,10,5,7.5
P018,G2,2 - GreenMarket,No,Title: Product Evaluation DESCRIPTION AS: Customer I WANT TO: Review a purchased product SO THAT: It helps other users with their purchases,USE CASE Main Flow GIVEN: The client bought a product AND received the product WHEN: They rate a product THEN: the review becomes available on the platform for other users,USE CASE Alternative Flow GIVEN: The customer has not purchased a product AND tries to rate the product WHEN: the review is submitted THEN: an error message appears indicating that they did not purchase the product and cannot evaluate it,7,10,10,10
P019,G1,2 - GreenMarket,Yes,Title: Weekly Organic Product Subscription DESCRIPTION AS: Consumer interested in healthy eating I WANT TO: Subscribe to a weekly delivery of organic products SO THAT: I receive fresh and reliably sourced food at home without placing manual orders weekly,Main Flow – Subscribe to weekly product delivery GIVEN: I am logged into the app AND: have already added products to my cart AND: I am on the checkout screen WHEN: I select the “Activate weekly subscription” option and confirm payment THEN: the system automatically schedules delivery of the same products for the upcoming weeks AND sends a notification before each new charge,Alternative Flow – Modify subscription products before the next delivery GIVEN: I have an active weekly subscription AND received a notification about the next delivery WHEN: I access the subscription and modify the items before the deadline THEN: the system updates the products that will be sent that week AND confirms the change via email and in-app notification,6,5,10,7.5
P025,G2,1 - TechFix,Yes,Title: User with Technical Problems to be Registered in a Ticket DESCRIPTION AS: User with a technical problem I WANT TO: Create a ticket describing my problem SO THAT: I receive solution suggestions from platform experts,"GIVEN: I am logged into the platform AND: I access the ticket creation page AND: correctly fill in the required fields (title, description, category) WHEN: I click “Submit Ticket” THEN: the ticket is registered in the system AND: I am available to receive notifications when specialists respond AND: the ticket appears in the public list for specialists to view","GIVEN: I am logged into the platform AND: access the ticket creation page AND: leave any mandatory field empty WHEN: I click ""Submit Ticket"" THEN: the system displays an error message indicating which fields need to be completed AND: the ticket is not submitted until all required information is completed",5,10,10,10
P027,G1,1 - TechFix,No,DESCRIPTION AS: User I WANT TO: Evaluate answers SO THAT: I can classify that answer as the best,USE CASE (Main Flow) GIVEN: I am a user AND I want to rate a response WHEN: I click 'like' THEN: the response will receive my positive rating,USE CASE (Alternative Flow) GIVEN: I am an unauthenticated user AND I want to rate an answer WHEN: I click 'like' THEN: the system displays the message 'please log in to submit your review',8,5,5,5
P023,G2,1 - TechFix,Yes,"TechFix – Collaborative Technical Support Platform: A startup launches a system where users can report technical problems, and experts can suggest solutions. The system allows users to vote on the best answers, and experts earn points according to how well their solutions are rated.",AS: A registered specialist on the platform I WANT TO: Suggest solutions for problems reported by users SO THAT: I can share technical knowledge and help resolve tickets,MAIN FLOW GIVEN: I am registered as a specialist on the platform AND: a user opened a ticket describing a technical problem AND: I suggested a solution to the problem WHEN: my answer is well rated by other users THEN: I receive points in the scoring system AND: my position in the specialist ranking is automatically updated AND: I am notified about the positive feedback ALTERNATIVE FLOW GIVEN: I am registered as a specialist on the platform AND: a user opened a ticket describing a technical problem AND: I suggested a solution WHEN: my answer receives negative ratings from users THEN: I do not receive points in the scoring system AND: I am notified with feedback indicating that my answer was poorly rated,8,0,5,2.5
P021,G1,1 - TechFix,No,TITLE: Scoring System DESCRIPTION: The user scores answers provided by experts AS: Authenticated system user I WANT TO: See solutions provided by experts SO THAT: I can score the best solution,GIVEN: I am authenticated in the system AND: I have an active account WHEN: I try to view the solutions provided by specialists THEN: the system allows it AND I can rate the specialists’ solutions,GIVEN: I am not authenticated in the system AND do not have a login WHEN: I try to view solutions provided by specialists THEN: the system does not allow it AND redirects me to the registration screen,9,10,5,7.5
P024,G1,1 - TechFix,No,TITLE: Ticket Registration DESCRIPTION AS: System user I WANT TO: Report a technical problem SO THAT: It is answered by experts with solutions,USE CASE: Authenticated user submitting a ticket. GIVEN: I am logged into the system as a user AND: I have already described my technical problem WHEN: I submit the report THEN: I receive a confirmation message,USE CASE: Unauthenticated user submitting a ticket GIVEN: I am not logged into the system as a user AND described my technical problem WHEN: I submit the report THEN: I receive a message to create an account,11,10,5,7.5
P026,G2,1 - TechFix,Yes,Title: Opening Technical Ticket by Regular User DESCRIPTION AS: User with technical difficulty on the computer I WANT TO: Register a ticket with details of my problem SO THAT: I receive fast and appropriate help from platform experts,GIVEN: I am logged into the TechFix platform AND: I filled out the required fields in the ticket form AND: I selected the appropriate problem category WHEN: I click the “Submit Ticket” button THEN: the ticket is published on the platform AND specialists are notified about the new request AND the ticket is visible in my account for tracking,"GIVEN: I am logged into the TechFix platform AND tried to submit a ticket without filling in all mandatory fields WHEN: I click the ""Submit Ticket"" button THEN: the system displays an error message AND highlights the fields that need to be corrected before allowing submission",14,10,10,10
P020,G1,1 - TechFix,No,"DESCRIPTION: Ticket registration for expert analysis, made by system users AS: System user I WANT TO: Check if my problem has already been reported and answered, and if not, register a ticket to inform about a technical problem I have SO THAT: An expert can analyze the problem and provide a possible solution",USE CASE (Main Flow – Previously Reported Problem) GIVEN: I am a user of the system AND: I have a technical problem WHEN: I check in the system for a similar previously registered report AND: I find a similar one AND: its response was well-rated THEN: I apply the provided solution AND: I later evaluate the response according to the result,USE CASE (Alternative Flow – Problem not previously reported) GIVEN: I am a user of the system AND have a technical problem WHEN: I check the system for an existing similar report AND do not find any THEN: I register a ticket specifying the problem AND the system should make this ticket available for specialists to analyze and respond,14,10,5,7.5
P022,G1,1 - TechFix,No,DESCRIPTION AS: <Specialis> I WANT TO: <Suggest a solution for a user’s problem> SO THAT: <gain points>,USE CASE (Main Flow) GIVEN: I am a specialist AND: I want to solve a user’s problem WHEN: I enter the system and see a question or problem AND: I select the problem I know how to solve THEN: I solve the problem for the user and receive my points,USE CASE (Alternative Flow) GIVEN: I am a user AND: want to report a technical problem WHEN: I enter the system AND: realize I am not registered THEN: I register my account to report my problem,15,5,5,5
P028,G2,1 - TechFix,Yes,Technical Problem Reporting and Collaborative Resolution DESCRIPTION AS: TechFix platform user I WANT TO: Report a technical problem and obtain a fast and effective solution SO THAT: I minimize the problem’s impact on my work and learn from the solution provided,"USE CASE – Main Flow GIVEN: The user identifies a technical problem on their device AND: They access the TechFix platform and select the “Report Problem” option AND: They fill in the problem details, including category, description, and evidence (images or logs) WHEN: The user submits the report THEN: The ticket is registered, specialists are notified, and the user can track interactions toward the solution","USE CASE – Alternative Flow GIVEN: The user reports a technical problem but forgets to include essential information for diagnosis AND … The system detects the missing information and requests additional details from the user WHEN: the user adds the missing details THEN: the ticket is re-evaluated, properly registered, and specialists are notified to begin analysis",17,10,10,10
